Item_Name,Stock_A_Count,Stock_B_Count,Stock_C_Count,Sales_A_Count,Sales_B_Count,Sales_C_Count,Stock_Turnover,Category,Suggested_Action
Antique Handle,122,63,61,114,64,68,951.0,Frequent-A,Review Strategy
Antique Handle,122,63,61,114,64,68,758.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,346.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,614.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,649.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,472.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,527.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,921.0,Frequent-A,Review Strategy
Antique Handle,122,63,61,114,64,68,517.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,550.3627090983272,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,634.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,430.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,590.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,660.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,560.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,580.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,741.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,528.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,550.3627090983272,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,881.0,Frequent-A,Review Strategy
Antique Handle,122,63,61,114,64,68,754.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,872.0,Frequent-A,Review Strategy
Antique Handle,122,63,61,114,64,68,700.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,592.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,188.0,Overstock,Push Sales - Implement Promotions
Antique Handle,122,63,61,114,64,68,318.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,523.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,496.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,681.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,770.0,Frequent-A,Review Strategy
Antique Handle,122,63,61,114,64,68,638.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,865.0,Frequent-A,Review Strategy
Antique Handle,122,63,61,114,64,68,757.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,609.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,398.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,490.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,630.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,456.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,281.0,Overstock,Push Sales - Implement Promotions
Antique Handle,122,63,61,114,64,68,800.0,Frequent-A,Review Strategy
Antique Handle,122,63,61,114,64,68,339.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,697.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,962.0,Frequent-A,Review Strategy
Antique Handle,122,63,61,114,64,68,653.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,520.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,397.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,858.0,Frequent-A,Review Strategy
Antique Handle,122,63,61,114,64,68,997.0,Frequent-A,Review Strategy
Antique Handle,122,63,61,114,64,68,564.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,277.0,Overstock,Push Sales - Implement Promotions
Antique Handle,122,63,61,114,64,68,564.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,333.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,462.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,643.5,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,478.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,241.0,Overstock,Push Sales - Implement Promotions
Antique Handle,122,63,61,114,64,68,749.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,467.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,220.0,Overstock,Push Sales - Implement Promotions
Antique Handle,122,63,61,114,64,68,661.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,366.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,278.0,Overstock,Push Sales - Implement Promotions
Antique Handle,122,63,61,114,64,68,527.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,283.0,Overstock,Push Sales - Implement Promotions
Antique Handle,122,63,61,114,64,68,324.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,974.0,Frequent-A,Review Strategy
Antique Handle,122,63,61,114,64,68,197.0,Overstock,Push Sales - Implement Promotions
Antique Handle,122,63,61,114,64,68,251.0,Overstock,Push Sales - Implement Promotions
Antique Handle,122,63,61,114,64,68,425.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,308.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,922.0,Frequent-A,Review Strategy
Antique Handle,122,63,61,114,64,68,181.0,Overstock,Push Sales - Implement Promotions
Antique Handle,122,63,61,114,64,68,1437.0,Frequent-A,Review Strategy
Antique Handle,122,63,61,114,64,68,375.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,508.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,317.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,594.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,534.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,587.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,214.0,Overstock,Push Sales - Implement Promotions
Antique Handle,122,63,61,114,64,68,653.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,905.0,Frequent-A,Review Strategy
Antique Handle,122,63,61,114,64,68,801.0,Frequent-A,Review Strategy
Antique Handle,122,63,61,114,64,68,696.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,250.0,Overstock,Push Sales - Implement Promotions
Antique Handle,122,63,61,114,64,68,252.0,Overstock,Push Sales - Implement Promotions
Antique Handle,122,63,61,114,64,68,475.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,551.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,837.0,Frequent-A,Review Strategy
Antique Handle,122,63,61,114,64,68,353.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,450.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,275.0,Overstock,Push Sales - Implement Promotions
Antique Handle,122,63,61,114,64,68,254.0,Overstock,Push Sales - Implement Promotions
Antique Handle,122,63,61,114,64,68,438.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,454.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,470.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,216.0,Overstock,Push Sales - Implement Promotions
Antique Handle,122,63,61,114,64,68,348.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,163.0,Overstock,Push Sales - Implement Promotions
Antique Handle,122,63,61,114,64,68,178.0,Overstock,Push Sales - Implement Promotions
Antique Handle,122,63,61,114,64,68,225.0,Overstock,Push Sales - Implement Promotions
Antique Handle,122,63,61,114,64,68,93.0,Overstock,Push Sales - Implement Promotions
Antique Handle,122,63,61,114,64,68,707.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,272.0,Overstock,Push Sales - Implement Promotions
Antique Handle,122,63,61,114,64,68,304.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,625.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,323.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,261.0,Overstock,Push Sales - Implement Promotions
Antique Handle,122,63,61,114,64,68,264.0,Overstock,Push Sales - Implement Promotions
Antique Handle,122,63,61,114,64,68,183.0,Overstock,Push Sales - Implement Promotions
Antique Handle,122,63,61,114,64,68,406.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,873.0,Frequent-A,Review Strategy
Antique Handle,122,63,61,114,64,68,833.0,Frequent-A,Review Strategy
Antique Handle,122,63,61,114,64,68,853.0,Frequent-A,Review Strategy
Antique Handle,122,63,61,114,64,68,385.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,550.3627090983272,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,92.0,Overstock,Push Sales - Implement Promotions
Antique Handle,122,63,61,114,64,68,317.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,438.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,188.0,Overstock,Push Sales - Implement Promotions
Antique Handle,122,63,61,114,64,68,146.0,Overstock,Push Sales - Implement Promotions
Antique Handle,122,63,61,114,64,68,191.0,Overstock,Push Sales - Implement Promotions
Antique Handle,122,63,61,114,64,68,409.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,306.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,566.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,948.0,Frequent-A,Review Strategy
Antique Handle,122,63,61,114,64,68,250.0,Overstock,Push Sales - Implement Promotions
Antique Handle,122,63,61,114,64,68,136.0,Overstock,Push Sales - Implement Promotions
Antique Handle,122,63,61,114,64,68,164.0,Overstock,Push Sales - Implement Promotions
Antique Handle,122,63,61,114,64,68,137.0,Overstock,Push Sales - Implement Promotions
Antique Handle,122,63,61,114,64,68,156.0,Overstock,Push Sales - Implement Promotions
Antique Handle,122,63,61,114,64,68,172.0,Overstock,Push Sales - Implement Promotions
Antique Handle,122,63,61,114,64,68,358.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,496.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,350.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,1467.375,Frequent-A,Review Strategy
Antique Handle,122,63,61,114,64,68,451.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,161.0,Overstock,Push Sales - Implement Promotions
Antique Handle,122,63,61,114,64,68,82.0,Overstock,Push Sales - Implement Promotions
Antique Handle,122,63,61,114,64,68,114.0,Overstock,Push Sales - Implement Promotions
Antique Handle,122,63,61,114,64,68,229.0,Overstock,Push Sales - Implement Promotions
Antique Handle,122,63,61,114,64,68,72.0,Overstock,Push Sales - Implement Promotions
Antique Handle,122,63,61,114,64,68,826.0,Frequent-A,Review Strategy
Antique Handle,122,63,61,114,64,68,283.0,Overstock,Push Sales - Implement Promotions
Antique Handle,122,63,61,114,64,68,83.0,Overstock,Push Sales - Implement Promotions
Antique Handle,122,63,61,114,64,68,159.0,Overstock,Push Sales - Implement Promotions
Antique Handle,122,63,61,114,64,68,250.0,Overstock,Push Sales - Implement Promotions
Antique Handle,122,63,61,114,64,68,72.0,Overstock,Push Sales - Implement Promotions
Antique Handle,122,63,61,114,64,68,541.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,93.0,Overstock,Push Sales - Implement Promotions
Antique Handle,122,63,61,114,64,68,542.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,743.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,123.0,Overstock,Push Sales - Implement Promotions
Antique Handle,122,63,61,114,64,68,83.0,Overstock,Push Sales - Implement Promotions
Antique Handle,122,63,61,114,64,68,926.0,Frequent-A,Review Strategy
Antique Handle,122,63,61,114,64,68,823.0,Frequent-A,Review Strategy
Antique Handle,122,63,61,114,64,68,147.0,Overstock,Push Sales - Implement Promotions
Antique Handle,122,63,61,114,64,68,592.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,677.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,58.0,Overstock,Push Sales - Implement Promotions
Antique Handle,122,63,61,114,64,68,829.0,Frequent-A,Review Strategy
Antique Handle,122,63,61,114,64,68,204.0,Overstock,Push Sales - Implement Promotions
Antique Handle,122,63,61,114,64,68,415.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,99.0,Overstock,Push Sales - Implement Promotions
Antique Handle,122,63,61,114,64,68,244.0,Overstock,Push Sales - Implement Promotions
Antique Handle,122,63,61,114,64,68,77.0,Overstock,Push Sales - Implement Promotions
Antique Handle,122,63,61,114,64,68,164.0,Overstock,Push Sales - Implement Promotions
Antique Handle,122,63,61,114,64,68,202.0,Overstock,Push Sales - Implement Promotions
Antique Handle,122,63,61,114,64,68,68.0,Overstock,Push Sales - Implement Promotions
Antique Handle,122,63,61,114,64,68,383.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,272.0,Overstock,Push Sales - Implement Promotions
Antique Handle,122,63,61,114,64,68,194.0,Overstock,Push Sales - Implement Promotions
Antique Handle,122,63,61,114,64,68,148.0,Overstock,Push Sales - Implement Promotions
Antique Handle,122,63,61,114,64,68,224.0,Overstock,Push Sales - Implement Promotions
Antique Handle,122,63,61,114,64,68,208.0,Overstock,Push Sales - Implement Promotions
Antique Handle,122,63,61,114,64,68,59.0,Overstock,Push Sales - Implement Promotions
Antique Handle,122,63,61,114,64,68,398.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,199.0,Overstock,Push Sales - Implement Promotions
Antique Handle,122,63,61,114,64,68,730.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,288.0,Overstock,Push Sales - Implement Promotions
Antique Handle,122,63,61,114,64,68,538.1876222093741,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,538.1876222093741,Frequent-C,Review Strategy
KH-1239,154,80,75,158,68,83,994.0,Frequent-A,Review Strategy
KH-1239,154,80,75,158,68,83,933.0,Frequent-A,Review Strategy
KH-1239,154,80,75,158,68,83,800.0,Frequent-A,Review Strategy
KH-1239,154,80,75,158,68,83,873.0,Frequent-A,Review Strategy
KH-1239,154,80,75,158,68,83,917.0,Frequent-A,Review Strategy
KH-1239,154,80,75,158,68,83,789.0,Frequent-A,Review Strategy
KH-1239,154,80,75,158,68,83,949.0,Frequent-A,Review Strategy
KH-1239,154,80,75,158,68,83,997.0,Frequent-A,Review Strategy
KH-1239,154,80,75,158,68,83,823.0,Frequent-A,Review Strategy
KH-1239,154,80,75,158,68,83,786.0,Frequent-A,Review Strategy
KH-1239,154,80,75,158,68,83,895.0,Frequent-A,Review Strategy
KH-1239,154,80,75,158,68,83,585.0,Frequent-C,Review Strategy
KH-1239,154,80,75,158,68,83,969.0,Frequent-A,Review Strategy
KH-1239,154,80,75,158,68,83,902.0,Frequent-A,Review Strategy
KH-1239,154,80,75,158,68,83,984.0,Frequent-A,Review Strategy
KH-1239,154,80,75,158,68,83,882.0,Frequent-A,Review Strategy
KH-1239,154,80,75,158,68,83,907.0,Frequent-A,Review Strategy
KH-1239,154,80,75,158,68,83,991.0,Frequent-A,Review Strategy
KH-1239,154,80,75,158,68,83,961.0,Frequent-A,Review Strategy
KH-1239,154,80,75,158,68,83,983.0,Frequent-A,Review Strategy
KH-1239,154,80,75,158,68,83,854.0,Frequent-A,Review Strategy
KH-1239,154,80,75,158,68,83,811.0,Frequent-A,Review Strategy
KH-1239,154,80,75,158,68,83,928.0,Frequent-A,Review Strategy
KH-1239,154,80,75,158,68,83,929.0,Frequent-A,Review Strategy
KH-1239,154,80,75,158,68,83,785.0,Frequent-A,Review Strategy
KH-1239,154,80,75,158,68,83,912.0,Frequent-A,Review Strategy
KH-1239,154,80,75,158,68,83,978.0,Frequent-A,Review Strategy
KH-1239,154,80,75,158,68,83,969.0,Frequent-A,Review Strategy
KH-1239,154,80,75,158,68,83,417.0,Frequent-C,Review Strategy
KH-1239,154,80,75,158,68,83,488.0,Frequent-C,Review Strategy
KH-1239,154,80,75,158,68,83,658.0,Frequent-C,Review Strategy
KH-1239,154,80,75,158,68,83,669.0,Frequent-C,Review Strategy
KH-1239,154,80,75,158,68,83,836.0,Frequent-A,Review Strategy
KH-1239,154,80,75,158,68,83,931.0,Frequent-A,Review Strategy
KH-1239,154,80,75,158,68,83,880.0,Frequent-A,Review Strategy
KH-1239,154,80,75,158,68,83,776.0,Frequent-A,Review Strategy
KH-1239,154,80,75,158,68,83,917.0,Frequent-A,Review Strategy
KH-1239,154,80,75,158,68,83,645.0,Frequent-C,Review Strategy
KH-1239,154,80,75,158,68,83,877.0,Frequent-A,Review Strategy
KH-1239,154,80,75,158,68,83,689.0,Frequent-C,Review Strategy
KH-1239,154,80,75,158,68,83,610.0,Frequent-C,Review Strategy
KH-1239,154,80,75,158,68,83,985.0,Frequent-A,Review Strategy
KH-1239,154,80,75,158,68,83,917.0,Frequent-A,Review Strategy
KH-1239,154,80,75,158,68,83,528.0,Frequent-C,Review Strategy
KH-1239,154,80,75,158,68,83,499.0,Frequent-C,Review Strategy
KH-1239,154,80,75,158,68,83,568.0,Frequent-C,Review Strategy
KH-1239,154,80,75,158,68,83,786.0,Frequent-A,Review Strategy
KH-1239,154,80,75,158,68,83,576.0,Frequent-C,Review Strategy
KH-1239,154,80,75,158,68,83,998.0,Frequent-A,Review Strategy
KH-1239,154,80,75,158,68,83,785.0,Frequent-A,Review Strategy
KH-1239,154,80,75,158,68,83,929.0,Frequent-A,Review Strategy
KH-1239,154,80,75,158,68,83,705.0,Frequent-C,Review Strategy
KH-1239,154,80,75,158,68,83,831.0,Frequent-A,Review Strategy
KH-1239,154,80,75,158,68,83,698.0,Frequent-C,Review Strategy
KH-1239,154,80,75,158,68,83,718.0,Frequent-C,Review Strategy
KH-1239,154,80,75,158,68,83,647.0,Frequent-C,Review Strategy
KH-1239,154,80,75,158,68,83,737.0,Frequent-C,Review Strategy
KH-1239,154,80,75,158,68,83,405.0,Frequent-C,Review Strategy
KH-1239,154,80,75,158,68,83,494.0,Frequent-C,Review Strategy
KH-1239,154,80,75,158,68,83,527.0,Frequent-C,Review Strategy
KH-1239,154,80,75,158,68,83,489.0,Frequent-C,Review Strategy
KH-1239,154,80,75,158,68,83,849.0,Frequent-A,Review Strategy
KH-1239,154,80,75,158,68,83,594.0,Frequent-C,Review Strategy
KH-1239,154,80,75,158,68,83,759.0,Frequent-C,Review Strategy
KH-1239,154,80,75,158,68,83,706.0,Frequent-C,Review Strategy
KH-1239,154,80,75,158,68,83,558.0,Frequent-C,Review Strategy
KH-1239,154,80,75,158,68,83,884.0,Frequent-A,Review Strategy
KH-1239,154,80,75,158,68,83,435.0,Frequent-C,Review Strategy
KH-1239,154,80,75,158,68,83,699.0,Frequent-C,Review Strategy
KH-1239,154,80,75,158,68,83,913.0,Frequent-A,Review Strategy
KH-1239,154,80,75,158,68,83,490.0,Frequent-C,Review Strategy
KH-1239,154,80,75,158,68,83,485.0,Frequent-C,Review Strategy
KH-1239,154,80,75,158,68,83,732.0,Frequent-C,Review Strategy
KH-1239,154,80,75,158,68,83,714.0,Frequent-C,Review Strategy
KH-1239,154,80,75,158,68,83,737.0,Frequent-C,Review Strategy
KH-1239,154,80,75,158,68,83,823.0,Frequent-A,Review Strategy
KH-1239,154,80,75,158,68,83,644.0,Frequent-C,Review Strategy
KH-1239,154,80,75,158,68,83,855.0,Frequent-A,Review Strategy
KH-1239,154,80,75,158,68,83,503.0,Frequent-C,Review Strategy
KH-1239,154,80,75,158,68,83,518.0,Frequent-C,Review Strategy
KH-1239,154,80,75,158,68,83,683.0,Frequent-C,Review Strategy
KH-1239,154,80,75,158,68,83,836.0,Frequent-A,Review Strategy
KH-1239,154,80,75,158,68,83,473.0,Frequent-C,Review Strategy
KH-1239,154,80,75,158,68,83,865.0,Frequent-A,Review Strategy
KH-1239,154,80,75,158,68,83,686.0,Frequent-C,Review Strategy
KH-1239,154,80,75,158,68,83,923.0,Frequent-A,Review Strategy
KH-1239,154,80,75,158,68,83,469.0,Frequent-C,Review Strategy
KH-1239,154,80,75,158,68,83,687.0,Frequent-C,Review Strategy
KH-1239,154,80,75,158,68,83,907.0,Frequent-A,Review Strategy
KH-1239,154,80,75,158,68,83,380.0,Frequent-C,Review Strategy
KH-1239,154,80,75,158,68,83,615.0,Frequent-C,Review Strategy
KH-1239,154,80,75,158,68,83,620.0,Frequent-C,Review Strategy
KH-1239,154,80,75,158,68,83,716.0,Frequent-C,Review Strategy
KH-1239,154,80,75,158,68,83,796.0,Frequent-A,Review Strategy
KH-1239,154,80,75,158,68,83,522.0,Frequent-C,Review Strategy
KH-1239,154,80,75,158,68,83,512.0,Frequent-C,Review Strategy
KH-1239,154,80,75,158,68,83,585.0,Frequent-C,Review Strategy
KH-1239,154,80,75,158,68,83,361.0,Frequent-C,Review Strategy
KH-1239,154,80,75,158,68,83,288.0,Understock,Urgent Restock Needed
KH-1239,154,80,75,158,68,83,607.0,Frequent-C,Review Strategy
KH-1239,154,80,75,158,68,83,463.0,Frequent-C,Review Strategy
KH-1239,154,80,75,158,68,83,460.0,Frequent-C,Review Strategy
KH-1239,154,80,75,158,68,83,749.0,Frequent-C,Review Strategy
KH-1239,154,80,75,158,68,83,517.0,Frequent-C,Review Strategy
KH-1239,154,80,75,158,68,83,509.0,Frequent-C,Review Strategy
KH-1239,154,80,75,158,68,83,326.0,Frequent-C,Review Strategy
KH-1239,154,80,75,158,68,83,550.3627090983272,Frequent-C,Review Strategy
KH-1239,154,80,75,158,68,83,702.0,Frequent-C,Review Strategy
KH-1239,154,80,75,158,68,83,860.0,Frequent-A,Review Strategy
KH-1239,154,80,75,158,68,83,550.3627090983272,Frequent-C,Review Strategy
KH-1239,154,80,75,158,68,83,271.0,Understock,Urgent Restock Needed
KH-1239,154,80,75,158,68,83,856.0,Frequent-A,Review Strategy
KH-1239,154,80,75,158,68,83,649.0,Frequent-C,Review Strategy
KH-1239,154,80,75,158,68,83,996.0,Frequent-A,Review Strategy
KH-1239,154,80,75,158,68,83,469.0,Frequent-C,Review Strategy
KH-1239,154,80,75,158,68,83,975.0,Frequent-A,Review Strategy
KH-1239,154,80,75,158,68,83,375.0,Frequent-C,Review Strategy
KH-1239,154,80,75,158,68,83,938.0,Frequent-A,Review Strategy
KH-1239,154,80,75,158,68,83,803.0,Frequent-A,Review Strategy
KH-1239,154,80,75,158,68,83,534.0,Frequent-C,Review Strategy
KH-1239,154,80,75,158,68,83,746.0,Frequent-C,Review Strategy
